Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
86,11.429237223095283,1.8259473144776308,358.08,351.16,0.71,1.68,357.12,350.82,8.49,3.83,19443.584779519875
185,12.290012046424902,0.5028301313807605,341.31,353.22,0.37,0.34,341.22,353.42,0.55,1.03,29777.665775186102
28,2.0150902513310647,1.0450133495395957,348.58,348.8,0.36,0.98,347.86,348.95,1.46,1.17,7315.582655887907
81,4.934246201738361,1.5302956029933736,353.49,345.59,1.1,1.07,355.57,345.67,5.75,4.63,8129.340670719887
80,2.29156095961888,0.7302864200713813,348.38,355.71,0.3,0.67,347.43,355.32,5.78,5.4,10851.218896012138
190,18.41374395817878,0.9049758085848573,363.02,343.34,0.64,0.64,363.38,343.62,2.27,3.7,7292.762494801837
76,7.879924594961414,0.9281562867558054,344.43,339.31,0.53,0.76,343.29,339.13,5.56,2.11,7209.078261850922
234,13.732895577856587,1.6287037205638681,359.71,430.55,1.15,1.16,360.79,418.87,10.74,44.58,9615.35059332284
146,17.71676546295553,1.5086932582162005,337.47,454.34,0.79,1.28,-259.82,-4055.65,3210.13,23688.19,10418.117577223984
99,2.5551778267593943,1.2772400530368602,348.19,347.42,0.42,1.2,348.59,347.47,1.89,1.36,10112.746026186229
40,59.02722959364939,0.9218566997568518,391.74,344.2,0.89,0.23,391.82,344.09,1.2,0.5,5939.274653283572
25,3.422304697588443,0.9813178414583619,352.42,345.12,0.7,0.69,361.76,330.13,50.45,79.82,7044.368543144193
89,0.7264213837346609,1.7409671271766127,349.49,355.02,1.43,1.0,344.0,353.84,26.51,8.57,7142.4415832901705
24,2.0050310878582303,1.7612048527915543,351.42,353.7,1.14,1.34,353.13,352.79,4.99,13.97,5686.433359257711
86,5.195955233657965,1.6268563898186903,346.33,339.73,0.69,1.47,355.15,355.85,41.53,86.42,9637.748140166366
24,9.79221096789117,1.3527251198243018,343.08,343.51,0.63,1.2,341.58,343.81,3.74,1.73,4869.018568082068
75,27.281023896646786,1.4228297082139671,369.29,351.42,1.4,0.27,368.47,353.95,36.95,31.68,7497.521444392816
37,19.224916909776425,1.4704732951227677,336.41,350.17,1.34,0.62,341.8,349.73,12.26,3.09,7943.604457939312
194,4.417829021830735,0.2715447818269831,346.88,356.28,0.11,0.25,347.1,356.17,1.61,0.75,5803.238654506944
16,4.20140299006233,1.4562986350845195,352.97,344.6,1.27,0.72,353.25,344.6,2.2,1.82,7080.543790510029
83,15.465831503152307,1.6609029726080045,339.06,339.6,0.33,1.63,337.12,336.32,10.8,8.6,11366.967652488354
29,8.965187472308532,1.731925142378424,343.66,357.89,0.88,1.49,349.33,362.08,21.51,12.9,5528.630213032628
52,7.738306451875881,1.3306350269178355,344.53,354.42,0.86,1.02,344.79,354.43,1.82,1.46,12696.665274496458
126,63.22340987570773,1.8393723638257704,305.29,285.58,0.94,1.58,299.65,291.79,33.45,31.79,66271.5358756805
150,2.343394541251716,1.9483667009450187,351.66,338.8,1.4,1.35,353.59,344.16,30.49,34.36,13796.13395468713
65,0.842538206426277,1.1601398251062938,349.4,361.56,0.57,1.01,305.75,352.81,155.62,33.4,7581.159085329374
445,27.236216310604906,1.6465235096937834,369.26,379.96,1.54,0.58,367.09,387.08,6.83,33.07,71649.97944873254
35,30.956968853880163,1.0448574757555626,328.11,357.72,0.82,0.65,325.9,353.85,19.04,8.97,6822.774009192122
261,13.090248279252394,1.980967901687746,340.74,341.68,1.83,0.75,341.62,343.66,14.67,7.42,11217.047213620652
89,0.44176845605657983,0.5671553760764723,349.69,353.04,0.32,0.47,349.54,353.24,2.72,1.63,7522.222022720529
65,10.883572831814162,0.9607683161119244,357.7,351.22,0.92,0.27,357.66,351.7,1.82,1.3,8869.62268701793
65,9.802370673919645,1.9316588278679232,343.07,342.39,1.17,1.54,342.99,342.37,2.77,2.56,6116.776672976643
84,3.577515571601619,1.5121587220469654,347.47,355.77,0.97,1.16,346.4,355.65,3.79,10.71,9355.773843231393
147,23.08093141140338,1.8267872733318313,366.32,346.49,1.58,0.92,365.92,349.03,3.45,9.83,9814.515615546945
107,23.028612999491035,1.4318328531898197,333.72,351.1,1.34,0.51,334.87,354.34,3.35,10.72,9502.98301626641
161,23.97985030867848,1.325616367672555,333.04,348.11,1.08,0.77,331.35,349.96,5.64,13.63,14263.877628438993
118,8.007689482014666,0.6594297710637976,344.34,356.53,0.24,0.62,303.83,370.36,170.31,37.35,8797.744503918268
54,13.737461497279202,1.9567841155782397,340.29,353.39,1.07,1.64,340.71,353.37,2.23,2.44,7952.511790357417
266,2.678467402286957,1.7703510925958872,348.11,346.57,0.85,1.55,353.89,379.6,25.88,72.54,8485.133979176326
185,6.1343376247260615,1.7670891334007157,345.66,353.64,0.99,1.46,342.81,359.69,6.9,11.94,6592.457032028314
125,14.326247947589481,1.8269938479947836,360.13,340.0,1.49,1.06,360.16,339.81,10.0,6.98,22576.5650449
95,17.453071546884697,1.4309516134807247,362.34,338.14,0.68,1.26,361.67,339.88,2.51,7.3,9585.992824766752
20,19.718224422114456,1.8225147598346076,363.94,367.9,1.46,1.09,360.14,368.18,16.81,8.36,4851.159604677776
22,4.852400933467694,1.428091336946408,353.43,340.66,0.46,1.35,353.35,345.25,8.51,10.78,13331.668956104935
841,12.722382341701055,1.915488952715526,341.0,491.55,0.56,1.83,340.71,491.87,0.95,2.62,64743.27719524444
117,4.385148687704402,1.6567095476638,346.9,346.33,0.57,1.56,346.57,347.11,26.7,3.33,7677.119788721394
23,11.068462869102992,1.680290843960236,357.83,345.46,1.25,1.13,358.0,345.77,3.52,2.6,7217.569353599216
111,2.6291506143293155,1.829039102091101,348.14,345.55,1.44,1.13,366.44,324.95,84.56,109.58,7380.050521530182
102,14.098915116628794,0.9393972347187421,359.97,354.98,0.91,0.22,341.93,349.13,75.51,24.94,6304.795469364516
44,23.82000722900583,1.2515245849386927,366.84,321.18,0.14,1.24,366.38,321.89,2.2,4.51,8197.469952097956
115,9.182475600686727,1.2594321491163527,343.51,331.35,0.2,1.24,345.74,332.58,4.49,3.41,6841.762699692018
56,5.115731067594205,0.8833157799447481,353.62,333.32,0.21,0.86,353.26,333.05,2.06,1.85,8030.766045998286
52,4.165104591104921,1.0097506740615596,347.05,338.41,0.31,0.96,182.29,312.39,847.95,137.79,7495.252884689343
35,0.7665456832415379,1.610547134614672,350.54,360.03,0.78,1.41,350.51,359.58,2.35,1.9,5348.108769532404
117,28.506314155813257,1.3825422939761,329.84,352.91,1.02,0.93,331.46,352.07,7.22,5.47,10153.8026822639
565,13.696484407759103,1.7326170865941952,359.68,310.02,0.69,1.59,356.48,315.1,9.91,24.39,13573.126001384031
79,18.669230785193776,1.441019752385872,363.2,336.48,1.37,0.45,360.49,336.41,23.73,1.05,8226.886483469034
66,10.621628024521526,0.5056448162919723,342.49,353.74,0.3,0.41,344.69,353.84,8.3,12.74,7683.908822809925
56,5.99792053718262,1.6119989341152008,345.76,352.69,1.2,1.08,343.29,352.76,8.61,2.79,5819.7010120827545
13,16.287988634533956,1.0753812009484798,361.52,361.49,0.39,1.0,363.46,373.08,14.99,60.69,7436.157045877473
123,0.8804847374959028,1.402980209001261,350.62,333.75,0.52,1.3,350.16,333.71,2.62,1.74,7190.014099744475
23,21.933480661969362,1.3204622454899262,365.51,375.88,1.14,0.67,366.05,375.98,4.73,3.56,6603.335319827593
161,4.9414910379107795,0.5004440775559713,353.49,359.86,0.27,0.42,354.05,360.37,0.89,1.14,14718.161911268533
53,9.685996160692046,1.8541324031955124,356.85,358.69,1.55,1.02,356.82,359.69,2.61,4.43,11919.522981278446
125,1.4316632127857327,1.1158876357003074,351.01,352.06,0.57,0.96,351.38,351.84,3.11,1.41,8033.561635165733
105,14.748528766720533,0.7043980547189571,339.57,350.59,0.53,0.46,341.42,350.75,7.88,0.72,5826.089235514616
709,25.698677237332348,1.4428975036523153,368.17,328.63,1.15,0.87,367.83,328.48,3.4,1.29,42726.35075739113
29,9.182273454268188,1.8098270380446893,343.51,353.4,0.78,1.63,347.27,353.08,11.87,17.75,8411.230981869578
381,7.589705383827081,1.5594096786085967,355.37,361.46,0.82,1.33,349.52,360.6,20.98,8.4,12120.700495119088
133,6.142541550038659,1.0044947551997039,345.66,341.3,0.83,0.57,345.42,340.68,3.43,2.97,11720.634676523052
47,8.211147337900575,1.7591077236281718,355.81,345.33,1.18,1.31,354.78,349.51,5.22,18.4,10119.486968380259
13,18.09206685278569,1.7406527285685118,362.79,351.65,1.51,0.87,324.46,365.78,199.33,60.18,7489.259612914799
60,20.989390862469612,1.8612152312129648,364.84,364.99,0.94,1.61,367.57,356.95,10.34,40.58,10438.035072813907
22,11.934161546148841,1.5532540991645665,341.56,357.64,1.36,0.75,342.54,358.99,3.81,7.94,9613.56853150837
82,0.06782398615240565,1.7055255152862294,350.05,360.59,0.87,1.47,348.93,362.26,5.41,6.43,10556.105254239706
81,0.8365312707228542,0.9300105925313605,350.59,350.45,0.48,0.8,350.81,353.56,1.4,11.58,7595.721951276662
78,1.8365947163742866,1.8264176566066728,348.7,349.88,1.13,1.44,349.6,351.14,7.07,8.16,5646.584910260362
