Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
90,1.6345583641524888,1.8905975877730492,351.16,354.72,1.4,1.27,351.43,354.77,3.01,1.63,6329.6874948878085,76
37,14.694415594651028,0.6746663977057394,339.61,346.99,0.65,0.18,339.68,347.29,1.21,1.11,8639.152198221884,32
35,3.339311872374654,1.5120766871706062,352.36,352.64,0.36,1.47,345.5,351.88,32.8,3.87,5594.562848495057,26
217,23.8982729650753,1.472624637521954,333.1,367.44,0.32,1.44,333.77,367.15,2.8,2.8,7848.058905482842,-64
63,73.58474812416553,1.967191085734023,402.03,387.07,1.75,0.89,401.49,386.34,2.49,2.08,6382.882944238141,8
1000,13.736227322007656,62.76554789891626,340.29,351.73,13.96,61.19,384.24,340.81,107.43,86.03,34832.587350308815,-18
21,9.565674238095436,1.8024820688632683,343.24,347.02,1.56,0.89,333.24,345.72,57.33,24.98,4231.971133803858,4
582,17.53294110687938,1.142209182815195,337.6,367.44,0.64,0.95,337.19,368.54,3.65,5.16,11821.923447656147,-178
263,30.692694222178595,0.9239206122425289,328.3,333.82,0.89,0.23,328.69,334.87,2.53,8.24,35342.97419969491,-122
20,17.02881262834508,1.1324634478107984,362.04,360.54,1.03,0.47,365.12,380.51,8.76,103.42,7404.326284538931,34
143,8.131162642352118,1.3003525358774453,355.75,350.63,1.21,0.48,356.38,350.48,2.36,5.04,10094.339715565118,10
45,1.8309338564575377,1.057576794064866,348.71,338.29,0.67,0.82,349.25,338.99,4.17,5.98,9353.947875123042,0
167,11.095245363284782,1.8565757072561115,342.15,370.87,1.13,1.47,343.15,370.48,7.04,3.0,8299.311573304618,18
26,2.8128773145877926,1.5869366825764524,351.99,349.71,1.45,0.64,354.34,350.68,15.95,6.63,7346.036112786259,24
36,40.561000638262755,1.599917209825029,321.32,328.34,0.82,1.37,329.08,333.6,16.76,11.53,4051.2769065992825,20
192,18.32239644756399,1.6297616809310986,337.04,370.05,1.05,1.24,337.48,369.96,1.68,3.29,16261.127064374308,-182
91,1.4269933952281815,1.7179143390796976,348.99,354.69,1.55,0.74,348.8,354.44,1.8,3.15,6653.337327164798,70
