Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
21,5.8357253090867784,1.7709772117189222,354.13,361.68,1.64,0.68,355.12,379.77,32.77,86.27,5595.8941543373185,52
167,21.55471877872736,1.0903791142222754,334.76,338.97,0.69,0.85,334.34,339.97,2.15,3.43,27720.17875253517,-40
124,1.2865859714659456,1.8156880602929275,350.91,352.85,0.86,1.6,352.67,351.76,8.17,12.5,7232.712457845037,184
67,6.1691207125462375,1.157461379148993,354.36,344.83,0.75,0.88,349.75,356.92,17.16,39.56,7633.295717826832,44
27,1.2660563773550477,1.114163565112164,349.1,341.12,0.9,0.66,348.27,341.32,2.91,2.27,6628.805227840279,20
1000,22.677999372629657,81.88001173800893,366.04,364.0,60.83,54.81,415.9,-108.97,746.83,1530.54,15365.851598784324,26
105,3.040969841022738,1.1824697031258784,352.15,339.06,0.57,1.04,323.2,322.76,154.31,99.73,7538.0465904063185,12
105,8.559320262619085,1.901172189256881,343.95,335.23,0.84,1.7,366.7,356.52,74.89,67.05,6268.892219192802,22
61,78.3193431897989,1.395843083434762,405.38,412.86,0.82,1.13,405.07,412.18,21.57,18.89,5201.0648263002795,16
6,12.16744956013343,1.3112498504470464,358.6,354.1,1.09,0.73,358.97,353.73,2.54,5.05,6166.212162186026,-10
1000,441.19952517683873,537.4512411003083,661.98,336.37,520.41,134.26,833.27,499.45,965.31,926.82,12149.454648281728,-68
235,18.796609675251755,1.8442675363117054,336.71,361.82,1.54,1.02,328.18,362.17,19.97,13.98,8044.296131047336,130
39,2.3828580516039057,0.9529745690952413,348.32,344.11,0.16,0.94,347.88,343.39,1.17,1.84,13543.330177758617,-2
556,16.132698552910828,1.7928752372360413,361.41,371.51,1.18,1.35,361.93,373.93,3.32,8.65,24464.534684505576,132
58,14.892789555145152,1.9204005230168684,360.53,347.74,0.66,1.8,363.62,348.81,10.89,9.37,6494.216817725638,68
35,8.576348637940203,1.9393258226720356,343.94,344.57,1.35,1.39,345.46,341.84,3.8,8.8,8287.791379057304,20
30,40.51992429412474,1.1376751114992065,378.65,394.75,0.85,0.75,379.57,397.05,5.15,9.06,7058.986830463007,60
41,7.885813462436961,1.1074470929579296,344.42,336.72,0.95,0.56,342.31,337.86,12.12,5.13,5342.500878567139,30
61,2.106363569280232,0.5410833058509791,348.51,328.99,0.4,0.36,349.82,328.55,6.36,5.05,10936.605066045278,0
