Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
395,9.308918390430648,1.5374968989814457,356.58,334.18,1.17,0.99,352.34,342.12,24.17,39.01,8141.285932490026,1580
324,90.25880890390802,1.993262126997175,413.82,349.02,1.98,0.25,406.17,339.23,20.46,57.95,7040.030701591827,1296
1000,126.74441341740393,453.78294761605434,260.38,369.9,450.57,53.92,323.75,382.62,1156.38,118.3,11698.033169506782,4000
452,23.306479950845933,1.885567322090165,366.48,321.25,1.74,0.72,368.06,325.37,3.88,12.78,7897.336098374408,1808
149,33.228512522845044,1.6145272304701916,373.5,376.57,1.21,1.07,377.94,377.74,20.09,7.95,8620.732467722677,596
132,33.2501746055617,1.7146639106637207,373.51,355.94,1.41,0.98,373.63,353.99,9.03,7.95,5223.835031749677,528
235,38.18661947859991,1.5563249800263126,377.0,353.38,1.44,0.59,449.37,445.8,392.63,498.2,6300.335432217764,940
1000,97.25200223381589,62.64234187647088,418.77,416.3,41.15,47.23,456.22,444.01,212.8,124.71,9922.940779937202,4000
237,31.40480003524133,1.820524446611776,327.79,337.32,0.93,1.56,313.04,336.64,51.6,4.47,9905.892003542804,948
74,7.8768145318741025,0.6293727469056227,344.43,358.88,0.37,0.51,344.61,358.35,1.85,2.69,8462.668496311746,296
41,5.005108743840477,0.500046540019269,353.54,347.6,0.41,0.29,353.71,347.97,0.76,0.96,6413.516444162837,164
70,133.61486865115566,1.8727637460772126,444.48,369.64,0.48,1.81,443.39,370.02,11.11,2.39,9002.057454190635,280
221,17.771633438670147,1.7184306099976336,337.43,347.4,1.45,0.92,337.21,347.23,2.59,1.94,12336.169771760486,884
10,24.754389466692757,1.7631871060805635,367.5,372.28,1.4,1.07,368.8,373.75,9.87,9.23,7434.971428917548,40
198,15.726588416154192,1.7031564233386804,338.88,356.07,0.36,1.66,338.69,356.04,1.58,1.8,9722.558304948554,792
34,17.607489912630292,1.152851896900875,362.45,346.44,0.84,0.79,362.3,345.25,1.49,3.02,5339.050212403512,136
490,11.213459123122663,1.9037849022305282,342.07,338.66,1.11,1.55,341.87,338.89,6.57,7.75,8395.907968251715,1960
111,1.189396783586826,1.4262887220558118,349.16,343.54,0.99,1.02,351.19,344.41,9.39,7.79,5056.598461733982,444
347,13.930495404652515,1.867430304653509,340.15,345.54,0.43,1.82,343.81,358.29,9.77,41.16,10792.162037477545,1388
745,2.166450758627913,1.8445653773511845,351.53,345.03,1.55,1.0,353.08,350.53,6.41,28.75,9583.483467869599,2980
67,23.542210458772185,1.2282091224432783,366.65,341.16,0.94,0.8,370.97,343.94,15.98,14.3,9151.882510956666,268
118,28.455809246571675,0.3330567987188403,370.12,403.32,0.19,0.27,370.28,402.83,1.27,1.77,6313.563704278266,472
132,32.70615478167915,0.6664206476018529,373.13,361.13,0.51,0.43,371.82,361.8,7.06,3.16,9454.43003398048,528
68,25.11558410786631,1.4302711935232904,367.76,351.02,1.22,0.75,366.9,350.54,3.52,1.56,11282.862779575655,272
1000,18.748875454860702,330.7666035590232,363.26,262.53,119.28,308.51,239.01,76.71,706.5,1198.14,8854.803123644771,4000
40,0.560618124621536,0.5352135516083274,350.4,348.72,0.38,0.37,366.77,351.25,49.51,21.23,8550.380911480928,160
288,2.1865851248377086,1.1916927025619184,348.45,350.06,0.97,0.7,347.96,368.94,11.55,54.32,7290.5609960466645,1152
472,22.06460288555905,1.5811865600360135,334.4,362.85,0.78,1.37,334.46,362.71,1.75,2.25,9811.807370000563,1888
418,29.913030083153867,1.3646764047876114,328.85,341.39,1.19,0.67,328.52,344.69,2.93,19.39,5944.165533082278,1672
406,38.349759489243475,1.5605036341210308,322.88,356.39,1.49,0.47,312.28,349.05,47.35,41.21,12055.993614554842,1624
22,1.7584358930775636,1.4285308762270033,348.76,347.9,1.23,0.72,349.75,344.58,6.76,9.42,7439.64393264055,88
468,16.358636631608757,0.9651912349661559,338.43,355.34,0.9,0.35,318.12,371.7,176.42,88.14,9235.024736395126,1872
111,28.537247899735764,1.813721264490367,329.82,347.03,1.33,1.23,328.28,348.2,7.07,10.38,8599.379232156525,444
219,33.407163413133254,1.010354713708784,373.62,363.33,0.55,0.85,336.4,507.06,376.92,540.0,6866.844607756845,876
104,1.1032568924643038,1.722566283525171,350.78,360.62,1.03,1.38,357.23,362.16,12.12,5.34,8787.351295249659,416
1000,397.3374089459087,121.87620994904607,69.04,253.75,113.17,45.23,-77.68,221.09,319.37,88.42,10624.256660025272,4000
172,1.7185596860174992,1.9056980309748979,348.78,252.7,0.91,1.68,280.41,217.85,127.27,329.31,7187.133209868638,688
248,1.1836769407724446,0.8301700179910836,349.16,353.12,0.5,0.67,352.0,352.13,10.93,2.98,8091.6673492796335,992
488,0.9434671150993944,1.0142877582916827,350.67,337.48,0.5,0.88,339.96,330.33,31.1,20.3,8854.297700057443,1952
142,1.3545785255577585,1.0978169305317949,349.04,358.54,0.48,0.99,348.07,358.41,2.87,2.29,9771.157917359555,568
3,7.970899444372827,1.8359939097052775,355.64,358.37,1.16,1.42,361.83,362.05,18.06,8.12,5274.832556055832,12
226,1.8771392252081116,1.0883716441420286,351.33,355.14,0.87,0.66,350.81,354.98,2.07,2.69,9399.545906237054,904
74,12.486333220182324,1.96508243233481,341.17,356.75,1.94,0.3,322.33,376.42,79.31,74.64,7011.617496059002,296
73,13.454013609062606,1.7699965317641642,340.49,354.75,1.5,0.93,339.13,360.29,12.02,12.9,9712.915217805072,292
1000,248.9622381594746,138.72193891516457,173.96,191.05,109.6,85.05,112.17,144.62,344.57,274.63,8025.602049394575,4000
137,13.822709788266922,1.7503415515739236,340.23,353.15,1.39,1.06,339.75,353.91,1.76,1.64,10310.679038578734,548
306,0.7655208788548283,1.5687999966176165,349.46,350.71,0.59,1.46,352.96,351.7,6.83,6.86,11854.744514760963,1224
177,2.553482614807921,1.181504617594889,348.19,344.3,0.47,1.08,348.61,344.64,2.99,1.42,7766.02377327108,708
21,6.2066787242559744,1.1596950691767953,345.61,349.81,0.86,0.78,347.4,351.12,8.94,5.61,5929.250014322652,84
512,33.56168715834856,0.8707747051799273,373.73,346.75,0.78,0.38,374.07,347.09,1.51,0.9,10649.848923295074,2048
384,20.063911616828427,1.8197039620513835,364.19,347.41,1.37,1.2,364.82,347.85,2.44,2.3,7871.562719668629,1536
705,34.7589260628719,1.3655777788691028,325.42,335.12,1.26,0.52,324.66,335.13,1.72,0.8,7588.4815344940625,2820
116,2.895395436493146,1.5976906891779512,352.05,354.28,0.31,1.57,350.32,353.17,3.63,4.08,8251.314576312088,464
81,26.527901017800488,1.521855894328462,368.76,372.92,1.41,0.57,384.8,399.45,62.93,95.62,6658.809402335046,324
1000,112.79003854222577,93.01950994311096,270.25,160.57,3.78,92.94,1179.11,4000.4,1756.66,7899.49,12019.092891395863,4000
664,4.466459834048559,0.8447664732552352,346.84,340.08,0.75,0.38,348.99,340.77,12.31,4.41,8971.02508816347,2656
1000,13.362229981726017,179.8366146457592,340.55,380.3,164.82,71.94,520.07,698.47,276.35,1227.29,12924.395585040409,4000
116,3.0492061248438036,1.8963125176822373,347.84,346.46,0.72,1.75,349.42,347.68,6.23,6.32,5856.74531094156,464
310,11.666401330136612,1.995088457180565,341.75,341.64,1.64,1.14,340.68,342.3,6.61,3.65,6683.177605509052,1240
77,9.962617251868009,1.7485854505104244,342.96,344.04,0.85,1.53,345.27,346.63,4.78,7.34,7456.486317362704,308
119,9.722302376626706,1.9417662671391216,343.13,360.88,1.35,1.4,330.56,376.24,34.14,39.39,13030.091142787092,476
589,6.401626145154155,1.951641384500863,354.53,372.52,1.0,1.68,354.55,376.93,5.35,29.86,9331.805654472744,2356
239,7.68725837257684,1.2373160497932112,355.44,336.53,1.18,0.37,353.53,334.08,6.41,5.4,9250.936745947101,956
8,95.52773312070491,1.0283638388017513,282.45,314.97,0.92,0.46,282.41,314.98,2.72,2.05,7013.897521520532,32
467,30.656951561739493,1.570254175132786,371.68,379.63,0.91,1.28,371.96,375.89,6.19,18.63,5627.39865864951,1868
54,16.612854427120595,0.6769086358351839,338.25,358.71,0.52,0.44,337.58,359.69,4.05,3.49,10648.16466223712,216
418,10.457043679474904,1.7500883199127133,357.39,350.21,1.06,1.39,349.48,348.44,46.62,10.46,7654.598170584084,1672
80,1.9459934250564142,1.521808917710682,348.62,348.15,1.15,1.0,348.91,345.59,5.31,11.87,5028.877923127659,320
136,0.9594277475470253,1.349045712598688,350.68,330.56,0.65,1.18,344.04,272.73,215.33,162.3,9030.545050699497,544
177,17.447114237178283,1.879298068159816,362.34,332.89,1.6,0.98,358.74,330.71,8.19,6.11,9844.241657756977,708
603,8.012203741652975,1.8220296134006642,355.67,352.04,1.51,1.02,356.21,348.8,3.01,6.72,10218.57931909092,2412
96,3.4947989025951007,1.5031881388184212,347.53,358.92,1.19,0.91,348.01,358.66,2.91,2.67,8309.376150729388,384
654,168.0543698061668,1.4837754261428056,468.83,481.7,0.98,1.12,439.96,451.33,140.18,147.06,11391.723323830913,2616
805,21.38275417206601,0.7086595173058208,365.12,273.83,0.35,0.61,365.45,273.7,0.86,24.77,12817.792455475887,3220
220,9.646751140490029,1.2325515886573934,356.82,357.12,0.66,1.04,355.47,353.92,12.2,16.79,9435.833097641733,880
39,7.710743077275822,1.8128936913141553,355.45,352.67,1.24,1.32,340.63,330.93,58.25,73.67,9497.07838883378,156
327,5.909114129323223,1.7291678685477048,345.82,344.24,1.31,1.12,431.85,239.23,381.82,479.5,8865.262591233857,1308
105,16.677432893636805,1.1464220266857945,338.21,350.94,0.48,1.04,337.55,351.12,2.26,2.02,7249.090348880553,420
682,4.903358654590415,1.4555041033632532,353.47,349.9,1.21,0.81,358.14,353.01,37.49,44.52,6945.998320575576,2728
109,53.23403370833767,0.26945729624069575,312.36,284.76,0.17,0.21,312.52,284.55,1.16,7.18,8937.080429594627,436
377,3.9928149984508754,1.8663786684923647,347.18,343.49,1.78,0.56,352.08,346.7,17.94,25.27,8163.118411074054,1508
213,4.431253202740432,1.668662841669794,353.13,344.7,1.24,1.12,350.94,330.93,9.97,64.48,9285.94162525375,852
78,14.530732702395062,1.3934526645992662,360.27,333.39,0.88,1.08,360.18,333.64,1.29,1.72,11740.29451892592,312
89,105.07847758402008,1.9880429646583784,424.3,440.53,1.39,1.42,439.21,458.8,64.36,86.12,8104.22547159901,356
