Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
26,26.23899621970468,1.1294509474642993,331.45,344.11,0.94,0.63,330.18,347.08,12.15,6.37,8436.549918515304,99
29,21.577659301436622,1.5490141854737043,334.74,348.76,1.4,0.65,335.48,351.22,2.46,4.76,6615.206023018693,116
50,10.277328762981972,1.34679548901175,342.73,341.59,1.26,0.48,342.88,341.24,10.71,3.53,8595.608502004672,187
89,13.720114654551638,0.8564504012235175,359.7,362.49,0.36,0.78,355.73,366.93,9.14,15.9,10089.1479108609,84
75,3.1233562329288738,1.110062605955081,347.79,356.99,0.65,0.9,345.37,353.03,6.09,11.22,9129.740473657084,74
149,14.427458362129409,1.7660823325876438,339.8,376.05,1.41,1.07,339.44,374.88,5.32,5.8,3939.7753518494546,227
12,8.97045223686736,1.6083657398221658,356.34,351.1,1.28,0.98,355.03,349.87,5.87,3.53,7211.645428648113,43
181,13.02460256857905,0.8617714795675697,340.79,344.43,0.8,0.32,342.35,343.04,2.84,18.41,11536.009662404824,289
225,15.021727065287207,0.7880919631917652,360.62,353.07,0.36,0.7,361.89,353.99,14.56,6.26,9176.865179326629,194
80,11.65792400223652,0.8461565700292775,341.76,345.42,0.77,0.35,341.03,345.57,1.8,1.18,6689.589664339392,69
12,65.37779592466518,1.5050275647780718,303.77,333.99,1.23,0.86,299.78,329.82,27.17,20.06,6040.940105729036,16
198,8.872906696308318,0.8636727677227067,356.27,334.93,0.62,0.6,355.41,334.71,5.25,1.61,8777.854960630295,428
443,24.8497403577909,1.7680570890907572,332.43,347.08,1.45,1.01,330.59,345.72,20.63,22.09,12417.261462873521,857
246,8.865566548224761,1.94294936116832,356.27,355.4,1.53,1.19,359.07,335.46,16.3,74.77,10826.130927987413,-18
172,7.424900143797051,1.1561537733144904,344.75,351.14,1.14,0.2,344.89,351.13,1.14,1.19,8948.526540667272,299
152,12.894533457502362,1.3581753799326444,340.88,346.12,1.18,0.68,340.15,345.75,5.89,3.36,9553.417923910232,69
78,18.49553923603455,0.8755934310392415,363.08,336.36,0.72,0.49,353.66,349.14,25.24,38.69,8346.001050148883,198
895,0.08935983134753017,0.7422151791713368,349.94,390.88,0.27,0.69,354.64,388.02,38.27,10.4,10495.944167067531,326
49,2.718810342369495,1.6501549652408118,348.08,364.26,0.55,1.55,347.98,365.17,3.32,3.15,7758.2410975278235,76
121,11.875965793464596,0.7539471870508716,358.4,354.84,0.7,0.27,358.9,356.29,3.2,4.0,9368.401524172396,235
172,19.270162596210252,1.4295382666676082,336.37,356.58,0.31,1.39,336.68,357.53,1.95,2.89,7843.561824476233,201
93,16.16746698689508,1.776204147166603,338.57,368.4,1.13,1.37,337.1,364.85,8.62,10.46,4953.2619075513685,152
87,14.23115137683753,0.39059455569221946,339.94,344.5,0.32,0.23,340.04,343.85,4.26,2.5,10751.514195306438,141
244,29.71687980504478,0.90192821162592,371.01,347.13,0.86,0.28,371.14,348.56,4.26,6.87,7331.794024549898,149
369,14.06370815569028,1.7908802278046623,340.06,348.35,0.54,1.71,338.58,348.42,5.92,6.23,7896.581755675688,488
81,13.747000382968197,1.233687299197278,359.72,345.56,1.12,0.53,360.37,348.2,7.25,7.64,5880.697113090228,228
270,130.57673857115216,0.6365168110475579,442.33,683.47,0.31,0.56,443.32,684.89,3.11,7.6,5533.538248107393,839
79,14.646245843806298,0.9893592906135201,339.64,349.57,0.9,0.41,337.63,350.33,5.19,5.49,9167.231122147095,103
356,34.6288890236299,0.7220213287516907,374.49,365.52,0.59,0.41,374.24,365.29,1.38,0.86,7197.8875226914315,524
349,53.51587358183147,1.9391674566939934,387.84,349.06,1.72,0.9,364.78,333.65,117.82,102.29,6878.845931559643,-13
49,18.171514607441306,1.735693749355633,337.15,349.11,1.08,1.36,338.92,347.35,6.83,5.94,9491.28511057117,28
181,18.874332420119053,1.362155026810636,363.35,338.25,0.49,1.27,365.35,337.19,8.47,20.23,7770.239967868275,138
937,66.69412546351909,0.8345563038109112,397.16,369.14,0.77,0.32,340.96,341.06,212.62,104.45,8376.503332993096,14
98,2.7975857124590906,1.9758444030897924,351.98,355.1,1.87,0.65,350.6,357.28,4.98,25.96,9464.130346794635,14
16,20.04206827721604,1.1949051898515068,335.83,353.96,1.09,0.49,335.89,354.21,4.12,3.32,6278.611068212985,64
