Drone1_x,Drone1_y,Drone2_x,Drone2_y,Drone3_x,Drone3_y,Drone4_x,Drone4_y,Drone5_x,Drone5_y,Drone6_x,Drone6_y
101,-1017,1931,1951,277,927,1722,224,1633,1050,424,-1123
-624,1099,391,2037,-868,-461,-941,1122,-1094,-17,-139,443
1618,3,856,-1009,-906,1178,1705,946,1508,-106,802,134
1948,600,181,1916,1789,1963,-269,-1042,764,1988,1911,1532
963,1844,1939,916,-785,-691,1735,1514,1755,1208,339,2028
921,1960,1915,425,606,273,1563,1173,545,924,1961,622
1782,2238,1681,2196,638,-1130,2114,1462,1110,2339,2717,507
1485,1626,1952,1900,1804,1079,715,2068,1047,1976,1232,2014
-693,379,881,72,1384,-785,744,1887,899,1913,1066,1910
-925,-467,256,1843,1833,611,1689,1033,707,-257,1141,1660
1901,1620,375,1542,1320,1579,323,14,93,1850,700,964
1606,186,250,1697,636,1166,233,1534,904,404,273,546
676,-1160,-1170,598,290,1938,-1076,-243,491,1980,197,1963
-592,1516,797,968,-866,964,340,1920,-324,1505,-681,-826
865,694,889,76,666,-832,377,-12,1406,126,-1231,335
1478,1558,1171,1726,1789,-267,230,1475,363,-909,619,1837
1867,1619,292,-758,1008,697,1546,1957,1273,1603,1963,853
1858,44,-1103,0,85,1838,888,1930,1652,198,1745,-243
729,-1057,963,1880,853,-1079,702,-1019,1826,1841,811,1950
331,752,468,1772,149,55,465,229,779,672,1863,1269
-302,-375,1409,-308,1039,-2,-559,-575,1399,1552,1958,667
-842,-222,393,-78,1982,1154,735,1798,1982,1467,1344,-748
1499,-275,1430,1270,598,1822,1161,-921,-1021,-281,271,1396
1917,-221,-1083,871,1514,1611,420,1969,1383,1810,1150,1730
475,1838,1543,1827,618,1722,1692,482,906,1384,992,1826
524,-208,-724,1132,1718,1912,778,1802,1105,950,1761,889
465,331,1521,1626,1427,-7,1395,1744,431,1537,1382,-242
1722,848,1330,1440,139,1818,655,-1100,1893,856,429,2130
-772,-712,1580,2215,1099,2078,1314,2189,1712,1995,121,2522
182,1116,1327,1398,1124,1894,1856,1099,974,801,1764,921
-134,1636,807,881,1749,-201,685,1755,752,-178,1794,34
1114,-720,678,1373,8,1087,-37,1926,249,646,402,1927
-770,1148,1845,-68,1491,1533,1679,1166,1828,565,786,178
584,146,842,552,-151,1441,1998,1225,426,581,685,1854
797,582,-610,1364,1682,1931,584,197,554,455,1633,651
485,1281,1425,718,1158,-521,1733,1413,730,1921,1750,245
174,454,1573,1220,1180,24,-817,326,221,1982,890,1914
-791,-642,1707,1495,-494,-658,1654,-385,1445,1377,1517,1497
1528,106,363,1292,1204,901,902,909,702,336,572,970
203,-859,1694,1384,1172,1870,575,-1142,1564,1575,686,1892
1703,1705,-1043,940,315,6,-444,1630,3,700,-682,1437
-616,137,893,1917,1649,-484,269,1924,232,1569,-775,-894
564,1929,1247,1886,1409,-705,1792,1094,-1022,-207,240,1748
1891,1270,-521,-236,1235,7,1083,1139,823,1766,629,1172
1411,1457,1843,85,1610,1361,591,1875,1862,43,1572,1274
2126,1199,1841,1770,922,1353,1389,-64,690,-864,-954,-428
308,1260,1547,1664,530,-1138,-211,868,1207,1600,811,-816
1501,-569,291,11,-802,1289,-266,-124,1449,1589,497,1945
874,1441,1492,-585,1310,-801,965,1827,447,-1118,89,1831
1407,1402,1581,1915,389,2350,1371,-776,1800,722,1602,1708
-621,-170,1829,1387,1272,1572,413,1952,1768,1550,746,-1131
-665,203,-652,-636,1168,-885,-869,-482,749,-1072,-199,1743
2029,336,619,1813,1729,1129,1986,490,1720,-532,1995,1926
-944,-163,-442,-682,-171,768,1357,-594,1162,2104,-287,-900
139,838,124,1131,573,1103,1138,500,1958,1015,763,1783
1579,1126,1240,1764,733,1097,-151,-1057,38,1849,1845,232
1945,1804,1823,1627,1797,57,-102,-1037,1040,-960,170,1883
1452,1278,-90,-1092,-1142,157,1941,1559,1675,1738,1855,357
1829,1078,660,1444,752,1626,1442,-418,-1101,211,904,1713
709,1519,789,449,177,1692,781,391,1615,1301,136,573
1669,-373,358,-40,1172,1163,1434,1917,799,133,367,1990
892,2003,-1174,321,305,-1036,235,1970,768,1895,-77,-246
973,2226,897,2098,-871,-783,1021,2152,780,-1088,1837,-572
1950,818,141,1141,-339,1081,1226,1637,1530,-398,-573,1309
1916,1122,542,-1102,271,-766,1879,1410,1229,2012,-908,-295
828,2513,-1230,1150,1103,2467,504,2606,230,2573,948,2649
1754,1814,614,2222,1935,546,693,2095,1561,1597,1376,1520
1115,1981,1038,870,649,1829,-832,-555,1753,1081,-475,-867
1390,1990,1115,-179,-15,1722,1834,1647,1168,430,1747,-159
1927,1560,1039,2132,104,-700,-314,1728,-478,407,716,1826
556,1448,-830,-574,-282,-944,1962,1718,1451,1160,-940,939
1908,195,-406,-953,1378,1423,535,-977,1547,1546,1256,1649
1752,1002,5,1564,509,1840,-74,495,1136,-938,201,1859
-663,1318,1232,-909,-1044,-188,1007,-1016,1274,1734,475,1848
1807,1682,463,2051,830,-1107,1417,1810,500,1940,667,2136
