Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
53,19.233769813839057,0.3107381769248619,363.6,334.82,0.19,0.24,363.35,335.28,1.91,2.8,10784.245129895658,163
740,83.36684126159,1.1634377206422748,291.05,269.72,0.95,0.67,292.53,270.11,4.89,4.95,8571.502082253452,1156
146,31.705296782513027,0.4026210528129398,327.58,343.13,0.34,0.21,327.57,343.39,0.91,1.35,7808.965775710412,295
88,18.35182251382918,1.9874982345676495,337.02,349.23,1.68,1.07,337.86,349.6,7.29,3.75,8740.27464541996,194
775,5.577124114250491,1.4687497938595815,353.94,342.94,0.58,1.35,357.75,341.6,8.0,3.94,9650.154312794864,11
114,69.7161121258959,1.487583741428769,300.7,343.29,1.15,0.95,265.23,336.7,94.57,14.47,8247.725929037997,104
1000,4.925854989749085,63.235453110921455,346.52,407.49,42.21,47.09,403.85,589.19,484.62,617.94,8288.703440864345,75
153,2.486833397133929,1.721073989908042,348.24,357.05,1.12,1.31,348.28,356.53,2.62,3.69,7200.6690628151,349
1000,6.51460202164002,48.01106014688589,354.61,390.73,13.31,46.13,355.18,416.91,77.49,80.33,6387.467249299586,862
451,11.744495102362302,0.4403101090726599,358.3,352.44,0.16,0.41,358.18,351.98,0.36,1.76,8530.248169257815,838
256,14.080654247235948,1.8970889941013862,359.96,351.42,1.34,1.34,358.59,354.86,3.71,7.15,8415.159644401989,221
199,15.23556385946261,1.9840562711294432,360.77,346.15,1.92,0.49,361.16,349.77,6.53,14.71,9826.739240910669,338
255,19.0966388762744,1.7510171120040028,363.5,353.95,1.0,1.44,363.49,354.6,4.8,4.77,8690.487740361881,570
1,7.678814452470258,0.6899865769936531,355.43,355.37,0.48,0.49,354.71,355.68,4.41,2.53,5256.752101784152,4
145,30.977688010233962,1.918981034716499,371.9,355.22,1.78,0.71,373.37,354.65,5.58,3.18,7460.149252574719,195
170,23.327715827952442,1.226763932940913,366.5,388.38,0.93,0.8,365.61,385.9,6.14,10.06,6566.463931634938,506
57,16.214780068163716,1.8168493211510344,361.47,347.33,1.72,0.57,361.24,352.48,8.37,11.7,8841.632843019206,122
82,95.38760901166539,0.9046379264944201,282.55,339.85,0.66,0.62,286.18,340.88,15.26,2.07,6671.072632386064,161
35,6.427459086529429,0.8804066319459867,345.46,349.41,0.52,0.71,345.68,347.08,2.77,9.82,5614.970732823074,140
58,3.1485586144464714,0.32084821140440467,347.77,342.65,0.28,0.15,347.75,342.66,0.47,0.7,6995.396570668175,210
265,17.158869997701647,1.2820230010607132,337.87,350.61,1.05,0.74,338.4,350.93,5.04,4.01,7235.832606982179,350
26,2.50148586983915,0.9169807510970412,351.77,365.03,0.6,0.69,351.89,366.27,3.66,4.73,10056.114115025586,38
197,6.996504175043828,1.2041753747603794,354.95,368.38,1.05,0.59,356.14,369.43,7.34,10.07,5028.936817475851,474
314,3.315054089102842,0.9407422683280231,347.66,351.22,0.79,0.5,346.61,350.85,3.05,1.29,7775.849833162859,208
122,7.476866697820347,1.263054829130648,355.29,349.76,0.95,0.83,357.22,349.83,18.0,3.18,8344.542708625084,182
89,3.502055849739699,1.4322058555580146,347.52,350.05,1.31,0.57,346.78,351.39,3.68,2.88,11361.806067184381,131
93,0.4165463545773135,0.2593286090226423,350.29,354.71,0.09,0.24,352.7,354.78,10.05,7.39,8549.355556108289,94
94,32.64863073262133,1.0424989907568187,373.09,349.99,0.84,0.61,370.93,358.32,27.53,18.93,8159.90914535634,98
296,35.464629973239305,1.3745858070287524,375.08,346.33,1.33,0.34,384.43,428.24,56.16,434.34,7511.734290625398,194
222,0.837722691875729,1.6376411373339692,350.59,359.15,0.76,1.45,351.52,356.93,3.65,6.13,8803.323768267956,274
80,4.405889091884367,1.849511134802476,346.88,352.98,1.69,0.75,394.51,306.5,258.5,254.19,8128.900009402401,80
59,44.74087130854806,1.349932022814306,381.64,342.78,1.34,0.19,382.58,343.2,2.43,1.87,8459.00853415097,89
230,12.761985666615832,1.2980722623580527,359.02,342.54,1.22,0.44,358.39,343.52,2.0,1.78,7857.930677186049,395
248,4.346804821601466,1.947877354825323,353.07,351.92,0.81,1.77,350.44,349.05,15.02,21.32,6853.692173833836,434
2,24.710345187975992,1.7975543662235742,332.53,316.69,1.49,1.01,334.42,320.76,6.4,12.99,6647.9566653398215,6
260,3.3400932799307905,0.7984508595626751,352.36,352.7,0.71,0.36,351.27,356.02,4.75,12.93,6784.138926146228,785
30,3.728815561328457,1.9059710475926233,347.36,347.94,1.64,0.98,346.96,346.91,2.49,2.47,5723.547367463513,106
