Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
75,4.730318488445225,0.7771603015161993,346.66,349.61,0.62,0.46,344.86,351.16,6.95,7.51,10004.697014775926,142
595,16.61749166493064,1.4884321268302785,361.75,325.7,0.42,1.43,361.02,325.51,1.93,1.47,18624.732182305994,119
94,38.95021225307168,1.740555799167762,377.54,353.4,1.64,0.58,377.74,352.66,7.42,6.55,7361.388817330409,184
162,37.481140727550134,1.0542937118958602,376.5,343.81,0.91,0.53,376.07,344.89,1.65,3.28,30614.93718467531,-89
396,53.29780661642466,1.5615632976821772,312.31,356.84,1.27,0.9,311.14,357.22,3.96,1.92,30063.435139507965,-186
73,20.025836421522218,1.4032236087266832,364.16,369.5,1.14,0.82,364.77,370.87,4.74,4.61,14215.08107193566,25
392,3.3678098265330503,1.011978253916054,352.38,350.14,0.65,0.78,351.6,349.53,4.51,2.22,52777.83701408727,-253
561,2.0673058615540496,1.6627205072989455,351.46,353.06,1.21,1.14,354.11,350.63,11.93,12.88,22470.880902679197,464
658,19.724315161278437,1.7539748488965763,336.05,355.48,0.56,1.66,337.56,356.0,8.56,13.54,72793.99611868428,-481
133,0.7711884378249902,1.0837417445605326,350.55,348.31,0.6,0.9,360.49,340.82,28.18,81.91,7499.664573429063,113
1000,223.18724799907727,634.7217948735765,192.18,599.43,334.93,539.16,775.96,1351.79,2007.24,2150.56,458185.9105142285,-931
203,6.73202157531921,0.9746471660551036,345.24,339.93,0.92,0.32,345.14,339.05,1.66,4.1,17381.515548577525,166
357,26.975291271353967,1.9495165854425718,369.07,338.22,1.79,0.78,370.3,339.43,5.96,11.45,25088.197218537014,37
66,12.804297945957131,0.861498637482536,359.05,362.5,0.59,0.62,358.45,362.75,2.05,2.58,14633.872905168386,11
906,6.05700861581571,0.9902814222539981,345.72,365.04,0.95,0.29,344.06,364.23,4.33,3.99,34576.428428852545,-357
1,53.55763193100393,1.1639841800551614,312.13,326.95,1.09,0.41,310.82,326.33,4.8,1.62,5293.839205892088,4
76,11.120581206983548,1.3507268629681493,342.14,339.87,0.54,1.24,341.72,341.0,2.13,2.98,9830.975435163942,194
402,117.60890483037937,0.98985421365524,433.16,318.85,0.8,0.58,427.01,316.87,30.91,11.22,106155.40375701163,-346
517,1.6638535950173337,1.36857649376426,348.82,347.85,1.04,0.88,349.73,348.23,6.0,6.84,7517.368788229857,1208
46,13.66296239804917,0.3669610495550304,359.66,350.41,0.2,0.31,358.81,348.6,3.36,9.39,4156.722986258737,120
752,10.365000384823185,1.2801270887109584,342.67,365.24,0.96,0.85,344.87,362.91,8.17,5.49,25579.320742732303,-104
71,9.736937028035749,1.6371762601448223,356.89,355.03,1.53,0.59,357.11,357.53,4.76,8.01,9200.441020062315,175
154,48.061568789046824,0.6845270324584747,316.02,428.44,0.17,0.66,315.7,429.76,2.27,3.99,41240.92707046464,-39
45,27.989239351461013,1.56034834009937,330.21,330.07,1.49,0.47,330.65,330.63,3.25,2.32,6824.060242282944,102
197,2.0896973194733937,1.5210833953590779,348.52,352.65,1.34,0.72,313.01,344.17,180.33,50.84,10211.930500988043,548
130,15.80021864984826,1.3104165230318763,338.83,348.74,1.27,0.31,338.71,348.55,3.3,1.0,10546.203141862872,375
218,132.58345854299,0.42589324554608476,256.25,373.8,0.42,0.08,256.69,373.62,0.97,0.56,16255.930585945182,30
53,47.41544553604511,1.5071835271882565,383.53,347.53,1.41,0.53,386.15,344.08,39.24,23.01,31354.50590388928,-2
183,45.72394908269315,1.5847974052880784,317.67,320.98,1.44,0.66,316.83,322.17,5.98,4.76,194904.60271072024,-142
86,6.100904132234652,1.353585669454546,354.31,340.33,1.16,0.7,365.67,398.13,35.52,172.37,9400.910492972664,342
616,13.707056406364968,0.40174374580801897,359.69,363.31,0.19,0.35,352.37,354.94,21.33,21.59,122684.71782854237,-549
351,1.2404569547053501,1.9220153120570878,350.88,338.67,1.45,1.26,351.79,337.61,4.31,9.38,6918.850193737174,775
392,15.765940404116057,0.7926959411086623,338.85,348.94,0.73,0.32,338.97,349.33,1.54,1.84,45970.76004249974,-238
215,9.889237997091271,1.0465710767178775,343.01,346.1,0.51,0.91,342.81,347.06,1.59,2.31,21167.140337428704,69
