Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
126,14.735873497667415,0.8079825153925151,360.42,328.2,0.77,0.23,362.7,328.19,9.21,1.52,42094.30052601451,504
805,18.146912457481466,1.56127667857209,362.83,350.1,1.14,1.06,356.95,348.86,9.79,7.25,139944.73929912297,3220
1000,1510.1342905678498,209.45120838900056,1417.83,322.55,206.26,36.4,787.94,360.5,965.6,93.86,114228.00413848029,4000
46,13.193418026378053,1.2974728192963378,359.33,349.75,1.06,0.75,359.29,349.51,12.34,4.7,23761.05890074253,184
118,16.42267047609053,1.6905512933621132,361.61,362.67,1.59,0.58,359.74,364.13,3.62,5.22,11078.27965891784,472
1000,73.39523954334814,3695.8595668458106,401.9,3144.97,2353.84,2849.36,1827.5,4520.26,9328.41,4660.77,143245.27155129972,4000
1000,79.61719074632171,57.63455878616422,293.7,316.6,51.17,26.53,318.19,321.64,102.01,68.34,123061.91210657272,4000
97,0.7686914933536377,1.8006736194708237,350.54,370.79,0.16,1.79,287.52,311.74,165.44,199.05,27981.931265345822,388
47,69.73838898548836,1.6593036780752677,399.31,361.43,1.59,0.49,397.61,359.86,12.65,6.87,21008.277263733416,188
63,1.0019149898810977,1.5642678715810043,350.71,342.75,1.12,1.09,351.12,342.32,5.15,3.4,16563.873633418094,252
1000,144.8289371018112,863.5368503298722,247.59,922.64,591.07,629.55,25487.85,16732.33,134780.46,80657.78,91415.35753507384,4000
709,81.71652704785366,1.4567177461109908,292.22,356.34,1.06,1.0,293.7,356.58,6.61,7.25,436665.27967344446,2836
1000,831.680918131156,709.6765407855406,938.09,502.81,692.4,155.64,2931.76,2170.66,6006.58,6796.7,387173.1563875028,4000
1000,56.11397830675978,299.35729562640387,389.68,352.93,292.06,65.7,6336.67,915.59,17427.34,2315.81,41623.49873114918,4000
58,10.660338286951328,1.1574645035992523,357.54,346.97,1.14,0.22,358.01,346.95,2.05,0.77,12124.722726725679,232
1000,4543.284673368049,4180.085616275324,3562.59,5176.57,3507.29,2274.21,6981.27,8089.73,13244.77,11708.68,771139.0772934486,4000
103,1.1005205939279634,1.7265071278160253,349.22,349.71,1.06,1.36,344.21,348.51,20.93,3.19,8137.736774184054,412
14,53.23947484796087,1.1116738874011534,387.65,356.75,0.62,0.92,387.76,354.77,1.0,11.07,6003.11937790433,56
463,30.323074257851378,1.6641385351813418,371.44,369.11,1.6,0.47,371.21,368.98,1.57,2.08,17516.770383214272,1852
1000,1760.5695168781112,2102.024057042566,-894.91,116.2,1514.38,1457.8,8888.23,9283.98,38422.65,24898.83,1884957.1473626294,4000
1000,10448.03641905206,10838.09195756349,-7037.88,271.66,10837.7,91.65,-16461.76,24.03,23035.04,470.17,216706.74547568994,4000
1000,1703.970202554314,1559.4877198159948,1554.89,-503.27,1107.92,1097.5,1458.29,-695.08,1658.31,2334.21,226126.38967082003,4000
148,74.1555081608037,1.618562183106235,297.56,349.34,1.46,0.7,274.33,325.89,165.3,55.19,43128.05819952058,592
440,0.027235213011043768,1.6424684651044306,350.02,342.72,1.51,0.65,348.49,342.41,4.68,4.59,15069.446994801947,1760
108,23.912495463302868,1.954457184449024,333.09,354.68,1.81,0.73,327.16,354.81,22.44,2.83,18684.81244703324,432
231,20.593571151072684,0.9328369614035328,364.56,346.2,0.61,0.71,364.59,346.33,2.14,3.68,45166.668978508,924
1000,27.207259237989852,176.50331003315438,369.24,420.87,118.67,130.66,422.06,341.62,248.3,585.91,175818.1476250143,4000
1000,116.3595484132815,116.61223586170286,267.72,286.18,47.95,106.3,-2.17,198.79,684.92,278.0,70708.0083650955,4000
4,52.02976850109178,1.966046362808962,386.79,397.09,1.2,1.55,386.79,397.91,2.1,5.05,5348.825431272009,16
79,15.305538390417343,1.3372354378434577,360.82,351.76,1.27,0.43,374.68,383.2,49.15,114.27,14366.647511520454,316
1000,111.93612537519527,781.3428364005715,429.15,447.56,489.82,608.74,2639.52,5897.11,10867.29,13563.71,106237.83330137713,4000
1000,14.54790849751571,3.6895536318077595,339.71,327.67,2.64,2.58,322.04,323.18,33.3,20.04,671297.010309264,4000
1000,43.42152483124961,203.81012246464488,319.3,450.28,187.95,78.82,359.03,650.4,2290.63,761.54,973182.0818378949,4000
207,6.571572576317623,1.9540708766033228,345.35,338.52,1.9,0.44,354.18,342.44,40.49,17.3,26337.99822805572,828
85,13.633555054319215,0.684216162531928,340.36,340.75,0.37,0.57,340.41,340.87,0.85,0.82,5679.2005631636575,340
1000,154.97263927787404,520.8544456486139,459.58,424.94,495.85,159.45,489.55,748.49,1062.12,773.6,314019.7743725029,4000
22,17.546023266554826,0.20402771258267885,362.41,363.95,0.16,0.13,362.67,364.17,0.93,1.2,6693.848989827222,88
1000,115.65553973124503,147.7922746357133,268.22,305.79,139.94,47.54,219.5,320.58,271.46,131.38,147233.00783057517,4000
44,11.568300836117952,0.8424455823662385,358.18,385.77,0.42,0.73,356.19,384.35,3.67,3.99,5951.756030593239,176
59,14.361411310070853,1.6997457135374847,339.84,346.13,1.6,0.57,339.95,342.46,7.23,10.39,3948.3243792907238,236
43,26.982785832464597,1.935516650618577,330.92,348.92,1.74,0.85,349.26,368.47,99.41,103.44,8424.336351107384,172
10,0.6737889018628185,0.7234218651981019,350.48,358.63,0.65,0.31,350.13,359.31,2.59,1.78,8639.678933179313,40
60,6.805301998905676,1.851104805363728,345.19,347.76,0.97,1.58,346.26,347.43,9.42,3.32,8262.464139792723,240
98,37.17459956634515,0.7487084211102953,376.29,379.06,0.43,0.61,371.86,375.2,12.4,10.43,5989.888715094498,392
1000,546.3290419697075,1361.4239746030128,736.31,2490.83,524.53,1256.32,1322.98,5156.18,3066.72,8799.31,130298.36989608506,4000
1000,433.2084299288275,138.00100653634254,43.68,369.77,61.36,123.61,87.87,439.16,360.67,245.15,259050.5681708103,4000
1000,67.72744393671901,125.27872817822946,397.89,337.89,115.35,48.87,500.82,564.99,1051.24,1201.29,679215.1413530658,4000
84,7.710606093862153,1.4033957585695656,355.45,363.4,0.91,1.07,330.17,388.65,221.62,118.15,6500.6083476759795,336
1000,686.757112161476,657.3153655656257,-135.61,212.13,652.46,79.78,-676.95,120.62,1385.1,665.11,1218062.102672743,4000
769,35.723959635545654,1.7823402582454406,375.26,353.69,1.42,1.08,374.11,359.63,14.73,40.83,110754.4075308798,3076
163,43.23120170081181,1.3726078685683292,380.57,401.39,0.61,1.23,380.69,401.14,1.5,1.46,47328.12514705993,652
61,26.30140742529713,1.8198148683053474,331.4,340.57,1.27,1.3,329.49,338.9,6.07,4.54,8665.51375978541,244
1000,16.71400211727941,114.95576636613494,361.82,321.47,112.27,24.72,506.65,774.13,1679.96,2577.34,485487.11563091504,4000
1000,31.971196512870154,304.5955366414626,372.61,442.57,101.35,287.24,131.61,287.98,508.41,539.42,42790.633907800904,4000
72,32.59339788148147,1.035486739946758,326.95,325.2,0.86,0.57,326.34,326.88,2.36,9.16,9066.295650860113,288
44,32.119292075613316,1.7398301660308704,372.71,336.36,1.48,0.91,374.01,335.81,5.54,3.57,30220.91902846835,176
174,1.4769160702505022,1.94948562460369,348.96,339.25,1.89,0.47,349.79,342.14,6.83,14.33,8572.229162372687,696
1000,1398.8820850953164,522.9809781865857,-639.16,204.66,505.9,132.56,-199.46,321.87,3849.8,1184.49,496486.941466024,4000
1000,570.3548194889482,1143.975669586856,753.3,762.41,821.84,795.78,3601.22,4186.33,6241.18,8220.63,167727.69912051762,4000
26,4.634238346712686,1.443296178055545,353.28,345.24,1.19,0.82,357.93,357.86,35.47,51.6,7659.829799424962,104
1000,269.8779090516481,1205.5962608949249,159.17,355.25,1203.29,74.51,-2822.03,-2173.64,6182.08,10978.2,365058.7629036291,4000
104,30.88277773368517,1.0945254373042221,371.84,348.43,1.02,0.4,370.93,348.71,2.85,1.85,7029.66919783905,416
81,8.806934796036023,1.277652842315508,343.77,336.64,0.7,1.07,346.08,336.41,7.2,7.67,31314.936668463968,324
63,46.079739572616745,1.8685972841252811,317.42,345.25,1.08,1.53,320.28,346.13,14.74,6.9,7212.968509539556,252
130,13.401965750546394,0.5229131481855062,359.48,351.67,0.25,0.46,359.61,351.23,2.45,2.01,12764.925644235182,520
1000,583.8550003206527,347.132305582134,-62.85,-367.01,221.82,267.02,-109.94,-227.92,510.84,2756.38,165454.1448294513,4000
13,0.08657650693664908,1.9176218771676385,350.06,340.3,0.5,1.85,349.39,338.02,4.29,11.56,3794.650452335947,52
617,22.284784569746833,1.1910925443761933,334.24,389.68,0.6,1.03,331.87,401.33,26.05,46.06,28580.277536664114,2468
1000,946.1800846932114,1556.7053679877326,-319.05,-200.07,763.3,1356.73,71.24,6674.9,8002.05,56966.81,150554.42490013607,4000
52,7.519817207304576,1.5021894756738858,344.68,346.58,0.41,1.45,346.66,347.69,10.1,6.1,7206.1737313111125,208
1000,56.4099687078394,1180.1255872058834,310.11,350.02,1156.73,233.82,1217.4,-1394.68,3002.85,4728.11,792930.0924961439,4000
133,59.099594997605074,1.5837666698866462,391.79,355.61,1.04,1.19,387.51,354.28,7.49,3.1,9549.848276662879,532
84,9.638882751950367,1.6716184997543746,343.18,352.14,1.08,1.28,342.69,352.7,5.67,5.46,4746.9000063579315,336
303,330.0853629666036,1.6692855403809388,583.41,492.42,1.55,0.62,597.62,505.17,59.52,45.31,8940.902278899606,1212
130,11.900349649010458,1.1452645533144115,358.41,335.66,0.9,0.71,358.7,336.34,3.71,2.9,11202.962173513088,520
1000,136.1500074735547,177.10651457957,253.73,364.35,89.34,152.92,-6321.63,-837.73,13129.37,6080.34,44677.350581182414,4000
1000,1615.762133975971,2153.2720231182034,1492.52,385.95,2150.95,99.93,5669.54,1152.47,8608.43,2859.9,141813.39647981594,4000
1000,819.4223434104124,643.7984869079087,-229.42,355.26,626.07,150.03,368.8,729.79,1702.16,1369.56,1055111.3706321493,4000
1000,2877.439045191614,5423.180332215586,-1684.66,-271.56,3142.53,4419.89,5848.5,52257.87,32234.81,136671.23,409356.5997253857,4000
224,13.365897916399263,1.6184497454813995,340.55,349.76,1.6,0.26,341.39,349.85,11.01,5.92,18521.369147641162,896
1000,395.38683870250475,233.42298959463474,70.42,180.02,198.32,123.1,245.16,784.35,977.59,4179.03,150436.67160600296,4000
25,5.598243899175202,1.5080875236851505,346.04,344.42,0.57,1.4,346.95,344.35,2.09,2.05,4114.662959864958,100
430,40.72256708032536,1.808838110532125,378.8,359.53,1.72,0.56,371.68,361.43,26.27,10.99,23502.462548074167,1720
284,16.003153403240546,1.0120955665217435,338.68,357.85,0.77,0.66,339.09,358.1,2.97,1.21,7574.386048619028,1136
49,21.75432315372638,1.3179378780563282,365.38,375.57,0.89,0.97,365.35,375.65,1.56,2.56,6726.485567438298,196
1000,44.17024518135653,59.14825810637232,381.23,367.6,42.15,41.49,391.31,385.0,88.25,143.62,41363.68862497031,4000
28,4.38893384779211,1.5946796393456408,353.1,345.97,1.35,0.84,353.16,345.55,5.43,5.5,13732.119168114345,112
57,16.139605683934345,1.8984779345570746,338.59,346.25,1.82,0.54,339.85,347.38,7.6,5.42,12075.642302722936,228
1000,915.6610199497353,585.9369035026662,-297.47,98.17,562.25,164.9,-663.99,1079.06,1488.42,5291.15,125645.71181522921,4000
14,0.05616273735623465,1.205996758446462,349.96,348.25,0.75,0.95,351.23,348.98,7.17,3.08,5244.304720627256,56
31,28.971448404017586,1.9903022836822126,370.49,375.85,1.65,1.12,370.78,376.43,4.61,4.6,6663.431503373872,124
1000,69.00978943405084,621.2560241127526,398.8,390.22,601.33,156.08,-6707.33,3076.21,11679.25,4562.14,480659.2043395507,4000
167,10.5167437155972,1.10662523101108,342.56,357.32,0.66,0.88,344.98,362.61,9.9,27.44,7847.160272966676,668
1000,40.119912866784695,101.68711239025617,321.63,296.9,91.82,43.69,509.76,328.66,708.24,121.78,282192.7814353833,4000
49,2.002898826059708,0.9034847946860273,351.42,319.63,0.29,0.85,350.07,320.04,7.41,1.24,75948.26878269135,196
180,22.3888099216281,1.632077610941955,334.17,326.66,1.24,1.06,332.68,323.87,8.64,15.81,6047.459644391017,720
12,45.17217162000054,1.9386569035999748,318.06,337.9,1.69,0.95,322.84,337.8,33.86,6.62,8531.483819090963,48
326,63.838475501407345,0.17607865958003782,395.14,328.86,0.14,0.11,395.7,331.79,5.15,7.13,68524.20468681886,1304
