Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
433,13.662864521983733,1.1927428460912535,340.34,373.85,0.75,0.92,340.61,373.95,1.32,2.52,8857.967268917062,-2342
67,2.693087081438612,1.6885911751951692,351.9,346.2,1.08,1.29,352.39,346.4,3.98,3.28,5990.716410049496,-628
443,23.43678861095167,1.2661079301276108,333.43,355.42,1.17,0.49,1151.03,795.89,4011.94,2371.7,8538.81304040508,-2422
235,10.048941421608012,1.6393578651526455,342.89,353.95,1.28,1.02,343.17,356.15,6.45,5.8,8109.7509403972235,-1360
42,35.15192512074758,0.8902018010295996,374.86,380.92,0.75,0.47,388.24,384.28,71.53,19.32,7647.15750100429,-168
1000,417.391836275349,3906.6421317759227,54.86,-1297.68,811.04,3821.53,-549.0,-3625.39,1538.8,7201.24,15855.957402935697,-4790
34,56.319352294494806,0.6351616183008183,310.18,350.7,0.63,0.06,311.07,350.94,7.73,4.43,8281.869197913442,-146
84,7.039962783941885,1.7582811482048624,345.02,365.21,1.28,1.21,344.38,365.94,2.43,2.24,9105.886796583925,-396
170,7.090111178892926,0.715218468672274,355.01,349.18,0.65,0.3,352.56,349.19,12.69,1.11,8405.215691558702,-680
121,28.995803084484297,1.75327617635814,370.5,362.84,1.03,1.42,371.11,363.08,4.68,5.14,7924.7770639006685,-854
90,54.26167570389346,1.993123622593297,388.37,367.14,1.7,1.04,391.74,369.96,18.91,7.43,7899.297204329225,-370
424,5.818928324458761,1.1971819890590059,345.89,434.99,0.28,1.16,369.34,417.09,123.88,126.57,11022.951338792695,-2446
436,1.3362817780002052,0.8188721858126161,349.06,344.57,0.7,0.42,349.12,344.8,1.66,1.03,7649.365279984374,-4574
197,14.142669812365158,0.915675923849788,360.0,362.34,0.89,0.23,359.54,362.65,2.87,0.92,10215.390693320602,-1098
38,29.028124764010887,1.8264426875575501,329.47,350.08,1.56,0.95,329.61,349.83,5.41,7.23,8048.146168919502,-192
90,35.51095689118868,1.6181908706013377,375.11,334.4,0.97,1.29,375.85,332.54,3.78,3.85,12479.328046395527,-590
1000,152.66302288646673,346.95786222721284,242.05,721.84,47.31,343.72,225.95,654.13,1105.98,3445.35,19154.955167306784,-8900
92,25.7873220222427,1.9071731651769674,368.23,356.07,1.45,1.23,379.32,360.84,27.52,38.36,5589.569754401753,-398
1000,112.8967021898669,99.7617453041988,429.83,372.35,98.68,14.67,576.7,370.19,291.6,78.44,10618.440023595364,-10760
10,41.429464133221174,1.104635105941104,379.3,374.11,0.39,1.03,268.6,194.47,597.74,960.48,7693.470312488367,-40
133,7.058478470050653,1.6776761192162843,345.01,340.29,1.38,0.96,343.59,341.32,4.59,3.15,9871.215814654859,-922
145,0.3259254354412186,1.2701307832033126,349.77,350.41,1.24,0.26,357.12,353.79,37.62,19.16,7476.136750241162,-580
182,1.8355060918813304,1.7792494735501831,351.3,354.08,1.68,0.59,350.3,354.55,5.06,2.79,9050.759901871414,-898
287,7.754497780984256,0.7588058935717098,344.52,363.47,0.47,0.59,342.29,362.42,10.91,3.53,7138.71430095946,-1238
507,17.417243713218895,0.016927156838217078,362.32,345.11,0.01,0.01,362.32,345.13,0.03,0.06,8863.586309343038,-2578
295,53.37458386571689,0.957367423747988,387.74,367.58,0.82,0.5,387.43,368.04,2.16,4.17,12395.487372778174,-2160
1000,169.11256402209227,122.71849458080759,469.58,374.12,121.14,19.62,588.18,339.52,583.84,133.79,5857.6345675397115,-8520
42,30.301635474588807,1.5202170146434273,328.57,318.35,0.78,1.31,324.5,315.62,14.59,11.63,6081.386208185067,-408
182,9.892260320551681,1.9882739101576048,356.99,336.56,1.7,1.04,355.71,335.12,7.99,4.59,11525.012975233862,-1188
30,6.4950171709309945,1.30326193149099,354.59,350.34,1.04,0.78,355.77,351.08,5.25,4.13,5873.086118658077,-180
7,9.573816284820904,0.70102650742322,343.23,332.25,0.41,0.57,334.82,324.95,55.88,48.1,7809.95644629428,-78
221,10.288853985082131,0.33734958169779783,342.72,358.11,0.24,0.24,342.8,358.28,0.46,0.71,7981.580325766037,-1244
158,36.438098672907714,1.5723656394223553,375.77,342.8,1.3,0.88,375.63,341.64,1.5,5.18,10646.451834605306,-1792
37,54.63535099490865,1.3905269353394598,388.63,406.26,0.63,1.24,389.51,406.62,5.31,3.63,6355.722238466089,-148
283,18.43708362569869,1.033419334338487,363.04,363.55,0.2,1.01,362.35,362.43,7.29,5.47,7030.566084839547,-1522
219,13.699424749748948,1.6314053150535355,359.69,335.95,0.58,1.52,360.29,336.17,17.02,7.99,9196.237487997048,-1396
88,5.173975033439122,1.709902295015164,353.66,345.74,1.63,0.51,348.43,343.51,9.55,7.54,8758.717072571324,-722
554,12.521545475569637,1.0644533159823355,358.85,366.12,0.98,0.43,360.42,368.06,10.48,5.25,6899.886113242037,-4026
53,28.849378073360185,0.7833942763544303,329.6,350.53,0.66,0.41,329.42,350.58,1.05,0.9,6651.311728934618,-312
109,18.390568239713808,1.5008431948584111,363.0,358.76,1.11,1.01,363.45,359.65,1.93,3.16,13630.479436947502,-466
72,1.4497352562041956,1.9196917482396423,351.03,353.4,1.44,1.27,350.55,354.36,2.1,3.14,8200.811268579037,-498
64,20.17711345100314,1.4837707895859356,364.27,353.85,1.19,0.88,364.14,352.59,3.39,10.51,8680.945226654898,-296
298,29.08779004476564,1.0954099837162898,329.43,338.03,0.78,0.77,329.02,336.47,3.73,5.47,6626.616066086475,-2022
716,72.5468110385185,1.1819606419142115,401.3,358.55,1.14,0.3,399.36,358.62,5.23,1.82,6168.852432430352,-3064
180,9.72382237812589,1.4334352410275613,343.12,346.82,1.18,0.82,342.81,347.24,3.04,1.47,8249.565168514118,-900
22,0.7187325385074373,1.2806218670019194,350.51,351.8,1.12,0.62,344.42,351.55,17.18,2.9,6965.165999998603,-88
55,12.051970959027205,1.3423088360315412,341.48,342.1,1.24,0.52,343.28,342.78,5.08,2.7,5938.690679955878,-370
75,9.00536179793424,1.9149085108373016,343.63,346.75,0.83,1.73,345.29,349.68,6.71,8.02,8967.647015790524,-620
79,21.46677187756642,1.9746295408068433,334.82,336.23,1.42,1.37,316.15,318.1,95.42,92.86,8934.285761016303,-356
390,0.006340688776323409,0.9214730780105731,350.0,279.22,0.49,0.78,343.09,279.37,12.66,1.37,8173.114348890932,-2210
66,4.984677165841918,1.1795191372131029,346.48,352.19,0.96,0.68,342.82,351.59,16.54,2.36,7149.151114734444,-324
100,1.7283132515738515,1.5903878589634,348.78,351.57,1.36,0.83,346.65,352.95,5.76,2.91,7936.085541296807,-450
195,28.472490785001185,1.6395333048575091,329.87,361.05,1.11,1.2,329.47,361.32,10.83,9.93,10561.174925571899,-1150
274,36.34441611933084,1.9359634089933513,375.7,370.16,1.47,1.26,385.68,372.41,24.89,6.15,6781.390435681802,-2466
322,0.4271870864758437,0.5046899937610404,350.3,356.1,0.42,0.28,350.33,356.2,1.83,2.62,9333.709540157122,-1618
87,7.553973340272997,0.5107426811271794,355.34,340.92,0.39,0.33,355.17,341.22,0.75,1.7,4776.163259263023,-398
113,1.8385493830377675,1.555726030631301,351.3,363.54,0.73,1.38,385.88,377.02,170.78,62.62,8425.69593222626,-1072
88,2.061004963384857,0.8479002815974165,351.46,356.1,0.66,0.54,352.91,356.68,2.35,2.79,6198.641758995108,-432
189,7.525480217440047,1.9246049789368014,355.32,338.82,1.51,1.19,353.54,362.87,18.86,127.71,6882.826119207299,-2626
358,14.242690570617569,0.8811026485092455,339.93,355.02,0.64,0.6,339.8,354.8,2.47,1.78,7946.450656248551,-3212
6,5.834247997855907,1.360957783814427,345.87,336.68,0.73,1.15,350.21,340.7,25.23,22.54,6563.144529410774,-24
234,2.765716548890573,0.9855245743474408,348.04,336.91,0.64,0.75,347.48,336.17,2.44,2.43,8069.512597907127,-1096
164,1.8499333667038769,1.3895945779535783,348.69,357.76,1.3,0.48,344.6,357.89,17.52,9.86,6207.696988551006,-796
279,42.1040024119201,1.170663763690786,379.77,374.85,0.85,0.81,1995.48,518.29,5939.31,530.45,6363.745542641891,-1586
79,8.570908985097873,1.7906374837536037,356.06,344.48,1.51,0.97,354.48,343.94,7.01,3.07,11525.766656287184,-366
11,47.36954189148518,0.7716414762952079,316.5,343.01,0.71,0.3,315.91,343.13,3.71,4.91,5135.337089224619,-84
249,28.15853352228454,1.456409895114863,369.91,364.98,1.28,0.7,368.04,363.44,5.06,6.44,7306.679154204463,-1616
10,31.37229349762938,1.3068786563007424,372.18,383.51,0.78,1.05,375.52,383.99,12.08,1.63,6831.807182394267,-40
59,17.302388697140564,1.994027207942982,337.77,338.46,1.7,1.04,336.44,339.83,10.87,5.33,8185.573369666368,-316
161,2.0654179583700154,1.8167992917686817,351.46,352.65,1.18,1.38,361.77,358.25,44.65,20.41,6187.851437479435,-704
46,12.284837494798523,1.714564277978081,341.31,346.27,1.33,1.08,347.98,351.04,15.84,14.72,7482.433771836238,-184
1000,17.254186354439128,3.0306932527250545,362.2,373.78,2.79,1.19,339.02,372.44,82.2,12.87,6898.933732478423,-8000
143,9.770849239143201,1.9006148056979397,343.09,348.24,1.47,1.21,344.82,347.34,2.59,2.61,9674.879174635778,-582
129,2.9442172899131593,1.8864685929685236,347.92,350.77,1.64,0.93,346.88,350.75,4.39,1.37,10765.612315202228,-736
745,5.0658589344260845,1.9150198234106748,346.42,344.37,1.26,1.44,335.44,349.48,29.29,19.08,9454.119810816872,-3640
187,33.54902581499022,1.1503947767404672,373.72,347.25,1.05,0.47,371.86,347.26,7.8,2.18,6955.5212258239635,-788
71,2.2342401236275555,1.6371443797355847,351.58,342.51,1.13,1.18,354.18,340.1,8.15,8.99,10870.986950716511,-514
104,62.04475741486514,0.2515927872301622,393.87,425.49,0.14,0.21,393.99,425.83,1.24,2.39,7089.673401936379,-506
144,151.00512680097717,1.3761703063619286,243.22,278.91,1.28,0.51,245.38,280.81,6.16,4.3,5255.594822878924,-1286
540,12.566357216286823,0.7428938599218357,341.11,348.69,0.58,0.46,341.97,349.22,1.5,2.37,9731.805336810492,-2810
176,5.234710108537126,1.1827345300626886,353.7,363.2,0.93,0.73,361.48,365.91,52.18,30.0,8321.509489873126,-794
986,3.0835407609294143,0.9148818090102465,347.82,346.69,0.62,0.67,343.55,349.69,17.66,12.78,7865.772246091049,-7074
158,9.731056399469137,0.5500637996157767,343.12,357.07,0.45,0.32,343.24,357.08,0.6,0.6,9305.491034075401,-962
177,15.453524556999296,1.8721000398062813,360.93,363.1,1.44,1.2,364.17,364.61,7.79,4.86,5785.898828368447,-938
46,3.903910889428371,1.6679037683286906,352.76,348.47,1.3,1.04,350.02,347.59,7.96,6.32,8056.011368060281,-204
75,0.339543912405879,1.8103388226668555,350.24,345.72,1.53,0.96,352.6,344.01,6.36,7.14,8839.969345580326,-480
190,6.1526010056182665,1.224735359313552,345.65,352.33,1.08,0.57,346.26,352.22,1.36,1.32,10541.782806377141,-980
102,4.283838362685833,1.9872164210721988,353.03,335.49,0.61,1.89,353.48,337.18,13.33,13.28,2421.039617160972,-448
369,48.460032753413294,0.5168636734318584,384.27,332.2,0.45,0.26,384.65,332.04,1.02,0.96,10894.324182414695,-2336
18,0.3790678042432174,1.9386264844470724,349.73,356.08,1.39,1.36,347.06,355.92,8.68,6.81,4741.519424537595,-82
532,12.22068675436932,1.4646128582478561,358.64,319.96,1.07,1.0,364.96,319.38,11.92,8.48,9309.830182829302,-3658
113,27.412553888060344,0.6922279536643188,369.38,354.78,0.68,0.13,373.57,358.51,10.08,11.62,8742.450736985042,-502
171,36.83833503595963,1.9077485134589476,376.05,266.99,0.65,1.79,375.99,269.71,1.13,9.82,8092.653251539028,-1904
86,19.130868708465435,1.8901207740364026,336.47,348.4,1.62,0.98,332.8,352.65,14.55,18.37,7368.981197727756,-354
65,4.121980669380614,1.6465604525899562,347.09,327.32,0.9,1.38,345.57,325.98,4.21,7.94,12732.79038035922,-400
212,28.49013553278288,1.0411848622932642,329.85,377.28,0.94,0.45,331.33,373.22,9.96,20.24,10513.46893288469,-1128
94,0.8574095487086156,1.864985130888799,349.39,342.27,1.58,1.0,350.31,334.88,16.21,47.67,7380.530903094597,-476
118,30.7156136751229,1.300045304751825,371.72,351.91,0.78,1.04,368.81,352.16,16.62,3.73,8062.973009884947,-612
272,9.748686317718578,1.1593701670139924,356.89,344.58,0.75,0.89,356.81,344.08,1.18,1.58,6414.243384317055,-1588
80,10.538694068851628,1.362225675943131,357.45,351.83,1.33,0.31,357.72,343.19,4.43,45.82,9254.677896384854,-320
826,6.935469877016235,1.7887414181533143,354.9,347.8,1.63,0.74,354.65,346.06,6.53,11.27,9217.544068598585,-7524
222,1.4411550205804755,1.2241731039386752,351.02,344.13,0.85,0.88,352.18,344.94,6.38,7.08,9439.535679812141,-998
503,1.6696926749908034,1.8842510812826967,351.18,346.24,1.76,0.68,350.28,346.34,4.46,1.2,8890.981505574855,-4002
35,1.6277984060076722,1.3546297688525573,351.15,351.32,1.29,0.42,350.0,350.86,5.92,5.12,6189.110758391855,-260
71,4.815556998221614,1.6690682447525416,353.41,360.34,0.34,1.63,376.68,360.66,102.68,3.07,7821.284964939115,-334
128,8.223867537476675,0.8035084089213405,355.82,349.23,0.6,0.54,354.72,351.9,3.27,5.44,10768.764443290811,-542
