Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
151,2.6134128233068936,1.7704601343530317,351.85,353.59,1.5,0.94,350.61,357.27,6.69,16.7,10816.0853678016
56,6.97901247572132,1.933354088592651,354.93,343.72,1.3,1.43,354.17,342.88,5.1,4.61,10429.117451550828
27,27.451862422171537,1.4126774016842232,369.41,374.82,0.97,1.03,371.72,377.46,14.75,9.83,6072.584863843542
153,6.436095577578488,1.5170633968554788,345.45,349.44,1.28,0.81,345.11,349.25,1.32,4.55,9854.470012080106
57,63.65451801382153,1.7528406044540505,395.01,348.13,1.4,1.06,392.3,348.89,23.97,3.07,7951.765498269785
233,24.571348188028907,1.6330964616866261,332.63,355.94,1.14,1.17,327.26,353.37,29.76,12.33,8754.363032020627
32,29.65568316505539,1.1772798172164494,370.97,352.15,0.79,0.88,370.69,353.76,1.54,2.67,6722.508287768204
109,12.724982857409449,1.766717273569284,341.0,345.04,0.51,1.69,338.78,343.29,9.86,5.4,4943.581094524987
162,9.398662844810449,0.9835904328609995,356.65,362.87,0.76,0.62,356.43,363.71,1.51,3.77,5920.116266429788
357,8.327519921637945,1.8663695531527111,344.11,361.0,1.11,1.5,344.55,361.02,3.43,5.53,10386.10003610085
100,1.8492247459882905,1.6754034009932968,348.69,350.04,1.56,0.61,348.75,349.92,2.77,5.48,11789.290218563714
601,13.528571236291167,1.361786054744861,340.43,365.67,0.77,1.13,338.57,364.11,13.54,8.65,9019.5460385858
131,1.666052233507241,0.7667940296729763,348.82,347.08,0.65,0.41,348.42,346.9,1.95,0.97,10392.10939885139
54,3.826592937956452,0.8623119895689765,347.29,346.13,0.58,0.64,348.08,345.9,2.06,1.95,7797.486374553683
107,14.870384161680905,1.4266109448039974,360.51,357.55,1.03,0.99,360.13,357.67,3.44,1.38,4051.017342017833
118,5.779429047865894,1.767659161208871,345.91,358.63,1.07,1.4,346.5,359.82,5.94,4.98,6850.645642850609
832,20.70417528135604,1.8823504387169083,335.36,360.93,1.45,1.2,333.2,358.38,11.69,19.11,6814.211580168204
461,39.762497523074444,1.0783397586015555,378.12,340.12,0.98,0.46,376.84,339.96,3.33,1.02,10183.631411851682
180,7.40811136939567,1.344023216302624,355.24,364.16,0.6,1.2,355.75,364.06,1.91,2.52,8344.939100707434
