Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
83,26.837651515676328,1.8352042743277577,331.02,339.41,1.49,1.07,322.59,335.32,16.62,13.64,7577.121639654125,112.0
833,250.40220565780578,1.2103173776818512,527.06,423.14,0.92,0.79,530.38,424.73,7.38,3.44,6892.989561711483,-1368.0
65,6.732537276653863,1.5972832132754862,345.24,342.15,1.24,1.01,348.28,339.59,19.25,12.29,6771.391587147699,27.5
118,7.02127274316424,0.5549394156871683,345.04,358.32,0.39,0.4,345.0,358.68,0.96,0.81,7071.993000621343,-17.5
120,8.457479920168975,0.9283947805785592,355.98,350.49,0.57,0.73,356.28,350.14,2.58,1.49,5080.169810265521,247.0
113,7.180071958049373,1.4803405472714237,344.92,338.04,1.26,0.78,339.73,345.16,28.86,39.28,8361.995184325864,54.0
173,9.99502843605198,1.5332950277807593,357.07,340.07,1.25,0.89,356.06,339.85,3.88,2.23,5538.720964260213,491.0
18,0.008927253882604439,1.1094801199155904,349.99,367.29,0.48,1.0,349.66,367.42,2.43,1.61,4889.404442814681,23.5
191,8.587496577613845,0.7330527259393327,356.07,353.78,0.39,0.62,355.2,354.05,4.48,1.43,9923.610981495443,-124.5
511,17.131290652471353,1.025080412565378,337.89,329.65,0.63,0.8,338.04,329.13,1.83,3.15,4773.05372402534,-228.5
37,18.9103344635368,0.23054715307334264,336.63,347.19,0.13,0.19,336.08,347.19,1.21,0.32,4679.405786045741,97.0
247,1.3719882336451257,1.473938376385732,350.97,346.0,1.09,1.0,351.63,343.83,5.66,8.73,6323.845173662784,551.0
493,1.9178671087890709,0.26679840104766606,348.64,355.61,0.24,0.11,347.88,352.83,2.72,10.53,8527.105490844166,-210.5
26,8.160488908446725,0.8623581952040352,355.77,345.64,0.71,0.5,356.46,345.34,1.59,3.08,6403.0688113906335,35.0
172,1.7175233078629966,1.368169794140477,351.21,348.97,0.76,1.14,347.87,343.44,20.17,17.1,6651.934570060306,175.0
930,34.38603306394632,1.6815303692863606,374.31,359.31,1.35,1.01,343.63,342.61,108.12,63.0,6502.128673615312,-0.5
82,5.812297257480929,1.7464846128998752,345.89,356.08,1.06,1.39,345.23,354.47,3.1,4.94,8811.935349249108,-2.0
21,4.6003708106641525,0.8449840324029441,353.25,340.02,0.25,0.81,353.66,338.45,3.64,7.54,4389.918086700158,35.0
55,6.758083669616849,1.2447296201670721,354.78,343.48,0.36,1.19,355.15,344.25,3.68,2.03,6483.576501318306,-8.0
120,2.0588890911768463,1.7783134029697574,348.54,361.63,1.47,1.0,388.8,293.33,228.05,370.22,9576.258939167812,-20.5
686,11.413630441702526,1.7551060915741468,341.93,348.33,1.45,0.98,342.64,348.44,6.27,3.47,6065.9102898227375,1109.5
96,3.6126256158606145,1.0773112432468026,347.45,333.61,0.52,0.94,347.56,333.87,1.45,2.2,6518.296860243152,135.5
72,4.046435752533013,1.288050454885532,352.86,344.93,1.27,0.22,351.87,344.71,2.22,1.43,7799.644901512042,50.0
43,2.5839364831892313,0.7788976848090016,351.83,344.7,0.61,0.48,356.83,350.5,34.88,24.09,8170.492268159098,17.0
35,15.517419304206978,1.8498817457998358,339.03,367.19,1.07,1.51,338.59,366.21,2.13,3.26,6288.439608956209,48.5
260,15.682892954803254,1.722246031235543,338.91,343.4,1.64,0.52,340.06,343.38,4.24,0.95,9162.289928989365,79.5
77,0.4802964916968796,0.7454025311329586,350.34,334.21,0.22,0.71,351.1,335.74,7.67,4.11,8790.393667441569,88.5
125,2.4158869093581994,1.0707023393753,351.71,341.76,0.88,0.61,349.85,340.93,16.88,3.48,7140.238958650318,130.5
33,22.761552278771845,0.7582943993813475,333.91,361.76,0.24,0.72,332.35,360.12,5.81,6.35,6006.5620215636745,58.5
53,2.8156187790751592,1.7682080376814218,351.99,338.89,1.4,1.08,351.86,346.86,4.26,21.98,7825.324190026338,60.0
165,1.0325712726366938,0.5759582578299404,349.27,346.7,0.51,0.27,349.48,345.03,1.25,6.25,7161.62557725268,249.0
46,2.1134238262430456,0.48993984789405853,351.49,350.6,0.33,0.36,351.21,350.94,0.74,0.79,6669.33363829182,96.5
91,2.105668098735654,1.6426166298687548,351.49,356.57,0.77,1.45,352.25,356.51,5.11,8.22,7981.465717233805,126.0
97,0.26550326223889453,1.7050458582790662,349.81,352.15,1.28,1.12,349.41,352.18,10.37,6.37,10110.537612255092,-34.5
80,11.045239881549534,0.44145863356681597,342.19,343.14,0.31,0.31,341.78,341.71,4.27,5.32,9705.958000435257,83.5
68,3.393884575543342,0.5897627204499987,352.4,343.28,0.52,0.27,352.44,343.34,0.59,0.36,6529.398354574203,151.0
44,8.02156380665431,1.9681436412874456,344.33,310.66,0.74,1.82,342.06,320.02,19.71,18.23,8105.483127910658,64.0
