Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
45,0.7414693008226994,0.586453171624982,350.52,353.78,0.41,0.42,350.64,354.44,1.76,1.76,8754.124484661377,-6.5
58,2.6913864596215005,1.4039328742494204,348.1,348.74,1.27,0.6,301.74,379.28,246.72,164.46,7115.41239117313,45.5
70,1.4331126909287246,1.7062996839477516,351.01,346.02,0.6,1.6,342.77,350.13,42.42,26.32,11375.238893428505,20.0
69,10.84341129620668,1.2608224162739528,357.67,341.56,0.67,1.07,360.91,342.55,14.15,2.33,6918.2218283430775,27.5
75,9.198404004471783,1.4394623638847108,343.5,345.96,0.32,1.4,343.69,346.97,5.28,4.45,10074.206070584934,11.0
54,2.559163621090451,1.5194331756222255,351.81,352.03,0.79,1.3,351.42,351.87,2.05,1.55,6227.709036478939,105.5
43,9.50175474995421,0.46225469342083425,343.28,342.91,0.38,0.27,345.63,342.34,6.58,2.7,7872.531270198436,41.0
57,6.1448793125560295,0.24029678353890327,345.65,365.11,0.09,0.22,345.44,365.18,0.97,0.53,5809.615005199,120.5
39,5.879843497765702,1.1312870510042499,354.16,356.22,0.99,0.56,359.36,359.52,31.2,21.93,5188.229200085992,99.5
21,17.326512058747056,0.3588954126293199,362.25,345.15,0.22,0.28,362.23,345.18,0.6,3.04,6786.837663675251,46.0
124,4.918202508418932,1.2563670505330415,346.52,348.66,1.07,0.66,345.8,349.71,3.22,3.38,8364.50576747406,146.5
184,21.235327063617355,1.3119969706163512,334.98,334.52,0.96,0.9,335.21,335.27,3.82,2.92,9619.49328777592,39.0
139,19.601507068459092,0.6702938855784611,363.86,369.34,0.59,0.31,356.31,362.45,14.19,27.99,9088.368400311634,42.0
41,4.432891192370891,1.7811458874647714,346.87,350.53,1.11,1.39,347.36,352.08,5.71,6.7,11611.124974974586,-23.5
22,6.07456461904525,1.9127319501213111,345.7,349.72,1.36,1.35,347.53,349.26,18.2,7.92,7412.873437315672,19.0
191,3.853792797711719,0.48092807290548706,352.73,339.35,0.32,0.36,353.32,339.46,2.23,2.27,8747.827238674028,74.0
50,7.164619274083792,1.462480801626492,344.93,348.13,1.27,0.73,347.16,348.26,5.76,1.61,9867.903783159276,29.0
71,42.29097632314896,1.1687877766471775,320.1,342.26,0.84,0.81,321.74,342.25,11.61,4.16,5353.996844314892,226.0
91,7.48488855598799,1.761231946738414,355.29,332.23,0.63,1.64,492.89,262.91,728.46,372.15,8855.433080185938,158.5
69,4.532328611175517,1.8319343065567275,346.8,344.91,1.27,1.32,345.08,346.0,8.08,4.81,6807.7223124085685,53.5
71,6.323264029138154,0.045487021140631856,345.53,346.82,0.04,0.02,345.54,346.91,0.2,0.2,7948.774348557179,37.0
210,1.3106822546620909,1.780476595092129,349.07,353.35,0.28,1.76,349.0,353.95,5.29,4.65,4162.497158974959,4.0
