Drone1_x,Drone1_y,Drone2_x,Drone2_y,Drone3_x,Drone3_y,Drone4_x,Drone4_y,Drone5_x,Drone5_y,Drone6_x,Drone6_y
203,-190,697,1930,998,401,1193,444,1879,1969,1162,-849
473,871,488,-409,300,1905,1822,1172,699,56,1155,562
-1126,364,779,-663,-714,-561,2046,351,1501,376,1000,-949
992,845,-37,551,762,-899,1291,1865,387,-600,576,-1106
-47,-1104,1778,1190,-250,469,1709,43,-961,183,1108,-481
1584,250,188,9,508,-174,121,929,710,37,-120,207
1952,878,719,119,1803,263,-610,1003,537,137,1678,-336
423,552,-150,852,1552,886,1408,1008,1053,289,-363,417
1396,889,301,207,911,-201,844,230,227,1035,785,1108
814,530,-546,626,39,275,267,703,1249,923,1196,1278
365,265,666,-597,1660,1408,1237,234,428,64,298,-28
240,1137,1525,567,1295,-136,659,-553,792,1905,1966,400
1995,75,105,-17,810,-1029,216,-19,1649,1964,250,42
-170,-13,416,-743,1944,59,-787,1140,1907,1662,626,1611
1775,365,1948,780,772,920,565,417,1494,1308,91,440
-623,1003,1809,1798,223,1483,1811,78,1717,522,540,968
-152,-411,-387,837,1999,1828,1155,-916,437,320,1779,567
1484,348,324,1301,843,1437,1310,827,1466,687,925,843
108,224,1148,-244,-1137,311,1175,1076,-193,21,364,-748
1658,1215,-215,-147,1935,89,97,551,398,-19,1367,368
-142,-645,1973,326,-455,327,1557,1428,596,161,877,-24
1946,1721,155,949,582,308,1418,322,-963,589,1132,160
-990,1040,293,-1174,1533,-533,1837,1130,951,-999,-274,-733
629,-1105,516,-86,550,444,-518,1057,1680,304,999,-325
1511,618,652,704,1536,1862,152,677,1104,-290,1360,132
763,1882,666,480,1729,1607,764,754,330,63,226,1469
618,438,256,870,135,464,229,103,76,1988,1208,1671
1715,1425,985,1957,-1004,566,644,1048,1619,201,1162,24
625,649,358,691,1155,351,918,9,1976,180,458,53
542,1203,1510,1664,362,385,-138,1329,278,144,349,191
533,1076,691,495,174,1182,1844,828,106,670,213,707
1723,1660,283,1391,45,193,1243,390,-154,-6,-825,134
429,463,-321,1428,-317,1031,1910,1466,76,-314,1963,884
-703,-737,1494,1956,517,342,169,-847,929,96,-158,-883
-20,430,1754,1890,708,217,1319,-103,-643,191,1299,392
1431,239,778,401,963,-103,654,999,902,1306,1967,944
-453,-1232,765,761,-943,1112,1305,1484,-450,-1123,893,-1285
1920,1154,666,-564,1045,1936,-43,590,1015,1015,-1080,-96
1184,787,1492,1059,-221,942,1958,479,359,968,690,258
1288,768,2034,1655,68,-365,888,997,406,-461,-974,201
1888,1636,981,415,318,24,373,-66,777,-84,194,733
